name,type
Charlton Court,PREMIUM RANGE 2 STUDIO
Lakeside,CLASSIC ENSUITE
Nelson House and Drake House,En-suites
Nelson House and Drake House,Non-en-suites
Nelson House and Drake House,Studios
UNITE House,En-suites
UNITE House,Non-en-suites
UNITE House,Studios
The Rackhay,Non-en-suites
Waverley House,Non-en-suites
Waverley House,Studios
Transom House,En-suites
Transom House,Non-en-suites
Marketgate,En-suites
Marketgate,Studios
Orchard Heights,En-suites
Orchard Heights,Studios
Chantry Court,En-suites
Chantry Court,Non-en-suites
Chantry Court,Studios
Culver House,CLASSIC NON ENSUITE
Favell House,Non-en-suites
Phoenix Court,PREMIUM RANGE 1 ENSUITE
Phoenix Court,PREMIUM RANGE 1 STUDIO
Blenheim Court,CLASSIC ENSUITE
Blenheim Court,PREMIUM RANGE 1 ENSUITE
Blenheim Court,CLASSIC STUDIO
Blenheim Court,PREMIUM RANGE 1 STUDIO
Cherry Court,PREMIUM RANGE 1 ENSUITE
Cherry Court,PREMIUM RANGE 2 ENSUITE
Cherry Court,CLASSIC ENSUITE
Brunel House,CLASSIC ACCESSIBLE STUDIO
Brunel House,CLASSIC STUDIO
Brunel House,PREMIUM RANGE 1 STUDIO
Brunel House,PREMIUM RANGE 2 ACCESSIBLE STUDIO
Brunel House,PREMIUM RANGE 2 STUDIO
Studio 58,PREMIUM RANGE 1 STUDIO
Studio 58,PREMIUM RANGE 2 STUDIO
Studio 58,BASIC STUDIO
Studio 58,CLASSIC STUDIO
